Well	Field	Cell Number	Top	Left	CircAvgIntenCh2	CircRingAvgIntenRatioCh2
C3	17	39	305	229	70.96054889	1.109853925
C3	17	40	307	242	71.58888889	1.243594342
C3	17	41	320	220	71.77777778	0
C3	17	42	326	170	71.83636364	7.70E-02
C3	17	43	346	50	71.91176471	0.679875781
C3	17	44	391	442	71.95918367	1.053439287
C3	17	45	399	167	72.01764706	1.527891765
C3	17	46	400	112	73.08928571	2.411884026
C3	17	47	401	428	73.5	1.384650732
C3	17	48	402	95	73.89861751	2.198134824
C3	17	49	420	427	74.17312661	5.36E-02
C3	17	50	428	36	74.30952381	8.89E-02
C3	17	51	435	325	74.4127907	0.779831885
C3	17	52	442	265	74.52173913	1.574334964
C3	17	53	444	40	75.17475728	0.184478471
C3	17	54	445	451	75.63636364	0
C3	17	55	453	406	76.14369501	1.857367049
C3	17	56	457	168	76.18965517	8.77E-03
C3	18	1	46	195	76.525	2.539095916
C3	18	2	46	453	76.77289377	1.933879977
C3	18	3	63	126	76.78888889	1.774926558
C3	18	4	64	103	76.8125	1.940863291
C3	18	5	76	282	76.90938511	1.561507748
C3	18	6	99	387	77.06498195	2.872887599
C3	18	7	107	307	77.5	0
C3	18	8	112	442	77.61290323	2.882318956
C3	18	9	138	440	77.85	0
C3	18	10	145	176	78	9.68E-02
C3	18	11	145	438	78.3605948	2.359625042
C3	18	12	158	429	79.06751055	1.127217059
C3	18	13	168	175	79.39325843	0.159332282
C3	18	14	182	332	79.84	1.997495414
C3	18	15	249	107	80.45708955	1.539218655
C3	18	16	268	271	80.63793103	2.340892466
C3	18	17	278	382	81.1038961	2.556433407
C3	18	18	298	452	81.32919255	2.935456127
C3	18	19	344	305	81.52747253	1.395578877
C3	18	20	358	107	81.58947368	1.343857404
C3	18	21	362	44	81.9739777	2.628753808
C3	18	22	400	145	82.05882353	1.404804229
C3	18	23	405	368	82.09859155	1.696983489
C3	18	24	407	171	82.12149533	0.556503655
C3	18	25	448	234	82.52983294	1.000971559
C3	18	26	449	256	83.53448276	1.386859183
C3	18	27	459	382	83.66037736	2.301570372
C3	18	28	480	394	84.01861702	0.663300387
C3	19	1	33	387	84.625	0.799189372
C3	19	2	58	439	84.64285714	1.84021731
C3	19	3	62	350	85.24193548	3.041252911
C3	19	4	76	295	85.44131455	0.240063635
C3	19	5	76	437	85.74	1.885522706
C3	19	6	109	92	87.30434783	1.523880443
C3	19	7	117	57	87.39413681	1.258912478
C3	19	8	129	99	87.79032258	1.323308271
C3	19	9	132	443	89.10869565	0.867533012
C3	19	10	136	248	89.65740741	0
C3	19	11	138	255	90.62126246	2.289101853
C3	19	12	139	459	91.30357143	1.424727974
C3	19	13	153	293	91.63636364	0.453860566
C3	19	14	159	376	91.91025641	0.679645744
C3	19	15	167	359	92.58441558	0
C3	19	16	182	33	92.78461538	2.729838049
C3	19	17	201	91	94.05084746	1.38977988
C3	19	18	219	87	94.25842697	0.201727985
C3	19	19	222	215	95.23469388	1.728062366
C3	19	20	274	123	95.85714286	2.414893803
C3	19	21	287	346	97.67175573	1.181233407
C3	19	22	305	372	98.3081761	0
C3	19	23	306	87	98.53825137	1.635974396
C3	19	24	307	62	99.09547739	2.56885245
C3	19	25	312	369	99.57106599	0
C3	19	26	337	49	100.7010309	2.071799816
C3	19	27	342	78	100.7312775	0
C3	19	28	355	10	100.8333333	1.809669452
C3	19	29	358	112	101.2923077	2.036919979
C3	19	30	379	408	101.379845	2.261980361
C3	19	31	383	423	101.9403974	2.992596778
C3	19	32	420	201	102.975945	4.35411483
C3	19	33	422	37	103.0392157	0.817612027
C3	19	34	478	168	103.05	1.350041463
C3	20	1	27	439	104.3333333	1.595266358
C3	20	2	40	279	104.5	0.782142729
C3	20	3	49	264	105.0689655	2.440556517
C3	20	4	51	81	105.3120567	2.582917489
C3	20	5	84	136	105.6111111	1.211141427
C3	20	6	105	233	111.3160173	2.244931921
C3	20	7	107	212	113.7440476	0.860767402
C3	20	8	127	293	114.9514563	1.601698509
C3	20	9	156	92	115.3513514	4.917280234
C3	20	10	193	50	115.531746	1.804211003
C3	20	11	207	46	117.6459459	2.035452394
C3	20	12	208	400	117.8862275	2.619111632
C3	20	13	221	105	119.6097561	2.465054264
C3	20	14	237	116	122.6363636	1.496451755
C3	20	15	245	139	127.7272727	0
C3	20	16	247	364	129.093633	1.905868026
C3	20	17	282	55	133.5881643	1.28183731
